ID,Booking_Travel_ID,Booking_BookingID,Supplement_ID,Price,Currency_code
4D997221A8E4645C17002DF03754AB66,53657221A8E4645C17002DF03754AB66,7,BV-0008,3.5,EUR
57997221A8E4645C17002DF03754AB66,54657221A8E4645C17002DF03754AB66,3,BV-0007,3.5,EUR
5A997221A8E4645C17002DF03754AB66,54657221A8E4645C17002DF03754AB66,4,BV-0006,3.5,EUR
7C997221A8E4645C17002DF03754AB66,57657221A8E4645C17002DF03754AB66,6,BV-0008,3.5,EUR
A5997221A8E4645C17002DF03754AB66,59657221A8E4645C17002DF03754AB66,9,BV-0006,3.5,EUR
BE997221A8E4645C17002DF03754AB66,5C657221A8E4645C17002DF03754AB66,6,BV-0008,3.5,EUR
C1997221A8E4645C17002DF03754AB66,5C657221A8E4645C17002DF03754AB66,9,BV-0008,3.5,EUR
ED997221A8E4645C17002DF03754AB66,61657221A8E4645C17002DF03754AB66,2,BV-0004,3.5,EUR
F7997221A8E4645C17002DF03754AB66,61657221A8E4645C17002DF03754AB66,10,BV-0007,3.5,EUR
F8997221A8E4645C17002DF03754AB66,61657221A8E4645C17002DF03754AB66,11,BV-0008,3.5,EUR
019A7221A8E4645C17002DF03754AB66,62657221A8E4645C17002DF03754AB66,4,BV-0008,3.5,EUR
099A7221A8E4645C17002DF03754AB66,63657221A8E4645C17002DF03754AB66,4,BV-0008,3.5,EUR
0A9A7221A8E4645C17002DF03754AB66,64657221A8E4645C17002DF03754AB66,1,BV-0006,3.5,EUR
259A7221A8E4645C17002DF03754AB66,66657221A8E4645C17002DF03754AB66,3,BV-0004,3.5,EUR
299A7221A8E4645C17002DF03754AB66,67657221A8E4645C17002DF03754AB66,1,BV-0006,3.5,EUR
359A7221A8E4645C17002DF03754AB66,68657221A8E4645C17002DF03754AB66,3,BV-0005,3.5,EUR
3A9A7221A8E4645C17002DF03754AB66,68657221A8E4645C17002DF03754AB66,5,BV-0003,3.5,EUR
409A7221A8E4645C17002DF03754AB66,68657221A8E4645C17002DF03754AB66,9,BV-0007,3.5,EUR
449A7221A8E4645C17002DF03754AB66,68657221A8E4645C17002DF03754AB66,10,BV-0005,3.5,EUR
459A7221A8E4645C17002DF03754AB66,68657221A8E4645C17002DF03754AB66,11,BV-0007,3.5,EUR
4F9A7221A8E4645C17002DF03754AB66,6B657221A8E4645C17002DF03754AB66,1,BV-0007,3.5,EUR
5B9A7221A8E4645C17002DF03754AB66,6C657221A8E4645C17002DF03754AB66,4,BV-0004,3.5,EUR
679A7221A8E4645C17002DF03754AB66,6E657221A8E4645C17002DF03754AB66,1,BV-0003,3.5,EUR
789A7221A8E4645C17002DF03754AB66,71657221A8E4645C17002DF03754AB66,3,BV-0008,3.5,EUR
819A7221A8E4645C17002DF03754AB66,71657221A8E4645C17002DF03754AB66,9,BV-0005,3.5,EUR
8B9A7221A8E4645C17002DF03754AB66,73657221A8E4645C17002DF03754AB66,4,BV-0003,3.5,EUR
909A7221A8E4645C17002DF03754AB66,73657221A8E4645C17002DF03754AB66,8,BV-0003,3.5,EUR
959A7221A8E4645C17002DF03754AB66,74657221A8E4645C17002DF03754AB66,3,BV-0003,3.5,EUR
049B7221A8E4645C17002DF03754AB66,80657221A8E4645C17002DF03754AB66,1,BV-0007,3.5,EUR
089B7221A8E4645C17002DF03754AB66,80657221A8E4645C17002DF03754AB66,6,BV-0003,3.5,EUR
199B7221A8E4645C17002DF03754AB66,84657221A8E4645C17002DF03754AB66,1,BV-0005,3.5,EUR
3E9B7221A8E4645C17002DF03754AB66,89657221A8E4645C17002DF03754AB66,2,BV-0008,3.5,EUR
499B7221A8E4645C17002DF03754AB66,8C657221A8E4645C17002DF03754AB66,1,BV-0005,3.5,EUR
4E9B7221A8E4645C17002DF03754AB66,8E657221A8E4645C17002DF03754AB66,1,BV-0007,3.5,EUR
559B7221A8E4645C17002DF03754AB66,91657221A8E4645C17002DF03754AB66,1,BV-0006,3.5,EUR
5E9B7221A8E4645C17002DF03754AB66,94657221A8E4645C17002DF03754AB66,1,BV-0005,3.5,EUR
919B7221A8E4645C17002DF03754AB66,A0657221A8E4645C17002DF03754AB66,2,BV-0003,3.5,EUR
9B9B7221A8E4645C17002DF03754AB66,A3657221A8E4645C17002DF03754AB66,1,BV-0005,3.5,EUR
C19B7221A8E4645C17002DF03754AB66,AC657221A8E4645C17002DF03754AB66,1,BV-0003,3.5,EUR
F89B7221A8E4645C17002DF03754AB66,B5657221A8E4645C17002DF03754AB66,1,BV-0006,3.5,EUR
039C7221A8E4645C17002DF03754AB66,B6657221A8E4645C17002DF03754AB66,4,BV-0007,3.5,EUR
