Travel_ID,BookingID,BookingDate,Flight_flightNumber,Flight_flightDate,FlightPrice,Currency_code
52657221A8E4645C17002DF03754AB66,1,2023-08-02,SW1537,2023-08-04,438,USD
52657221A8E4645C17002DF03754AB66,2,2023-08-02,SW1537,2023-08-04,438,USD
53657221A8E4645C17002DF03754AB66,1,2023-07-15,SW1537,2023-08-04,438,USD
53657221A8E4645C17002DF03754AB66,2,2023-07-15,SW1537,2023-08-04,438,USD
53657221A8E4645C17002DF03754AB66,3,2023-07-18,GA0322,2023-08-06,438,USD
53657221A8E4645C17002DF03754AB66,4,2023-07-18,GA0322,2023-08-06,438,USD
53657221A8E4645C17002DF03754AB66,5,2024-05-27,SW1537,2024-05-31,438,USD
53657221A8E4645C17002DF03754AB66,6,2024-05-27,SW1537,2024-05-31,438,USD
53657221A8E4645C17002DF03754AB66,7,2024-05-20,GA0322,2024-06-02,438,USD
53657221A8E4645C17002DF03754AB66,8,2024-05-20,GA0322,2024-06-02,438,USD
54657221A8E4645C17002DF03754AB66,1,2023-07-29,SW1537,2023-08-04,438,USD
54657221A8E4645C17002DF03754AB66,2,2023-08-04,GA0322,2023-08-06,438,USD
54657221A8E4645C17002DF03754AB66,3,2024-05-20,SW1537,2024-05-31,438,USD
54657221A8E4645C17002DF03754AB66,4,2024-05-28,GA0322,2024-06-02,438,USD
55657221A8E4645C17002DF03754AB66,1,2023-08-01,SW1537,2023-08-04,438,USD
55657221A8E4645C17002DF03754AB66,2,2023-08-01,SW1537,2023-08-04,438,USD
56657221A8E4645C17002DF03754AB66,1,2023-07-24,SW1537,2023-08-04,438,USD
56657221A8E4645C17002DF03754AB66,2,2023-07-24,SW1537,2023-08-04,438,USD
56657221A8E4645C17002DF03754AB66,3,2023-07-24,SW1537,2023-08-04,438,USD
56657221A8E4645C17002DF03754AB66,4,2023-07-17,GA0322,2023-08-06,438,USD
56657221A8E4645C17002DF03754AB66,5,2023-07-17,GA0322,2023-08-06,438,USD
56657221A8E4645C17002DF03754AB66,6,2023-07-17,GA0322,2023-08-06,438,USD
56657221A8E4645C17002DF03754AB66,7,2024-05-11,SW1537,2024-05-31,438,USD
56657221A8E4645C17002DF03754AB66,8,2024-05-11,SW1537,2024-05-31,438,USD
56657221A8E4645C17002DF03754AB66,9,2024-05-11,SW1537,2024-05-31,438,USD
56657221A8E4645C17002DF03754AB66,10,2024-05-13,GA0322,2024-06-02,438,USD
56657221A8E4645C17002DF03754AB66,11,2024-05-13,GA0322,2024-06-02,438,USD
56657221A8E4645C17002DF03754AB66,12,2024-05-13,GA0322,2024-06-02,438,USD
57657221A8E4645C17002DF03754AB66,1,2023-07-15,SW1537,2023-08-04,438,USD
57657221A8E4645C17002DF03754AB66,2,2023-07-15,SW1537,2023-08-04,438,USD
57657221A8E4645C17002DF03754AB66,3,2023-07-15,SW1537,2023-08-04,438,USD
57657221A8E4645C17002DF03754AB66,4,2023-07-17,GA0322,2023-08-06,438,USD
57657221A8E4645C17002DF03754AB66,5,2023-07-17,GA0322,2023-08-06,438,USD
57657221A8E4645C17002DF03754AB66,6,2023-07-17,GA0322,2023-08-06,438,USD
57657221A8E4645C17002DF03754AB66,7,2024-05-28,SW1537,2024-05-31,438,USD
57657221A8E4645C17002DF03754AB66,8,2024-05-28,SW1537,2024-05-31,438,USD
57657221A8E4645C17002DF03754AB66,9,2024-05-28,SW1537,2024-05-31,438,USD
57657221A8E4645C17002DF03754AB66,10,2024-05-18,GA0322,2024-06-02,438,USD
57657221A8E4645C17002DF03754AB66,11,2024-05-18,GA0322,2024-06-02,438,USD
57657221A8E4645C17002DF03754AB66,12,2024-05-18,GA0322,2024-06-02,438,USD
58657221A8E4645C17002DF03754AB66,1,2023-07-15,SW1537,2023-08-04,438,USD
58657221A8E4645C17002DF03754AB66,2,2023-07-15,SW1537,2023-08-04,438,USD
58657221A8E4645C17002DF03754AB66,3,2023-07-15,SW1537,2023-08-04,438,USD
58657221A8E4645C17002DF03754AB66,4,2023-07-17,GA0322,2023-08-06,438,USD
58657221A8E4645C17002DF03754AB66,5,2023-07-17,GA0322,2023-08-06,438,USD
58657221A8E4645C17002DF03754AB66,6,2023-07-17,GA0322,2023-08-06,438,USD
59657221A8E4645C17002DF03754AB66,1,2023-07-15,SW1537,2023-08-04,455,USD
59657221A8E4645C17002DF03754AB66,2,2023-07-15,SW1537,2023-08-04,455,USD
59657221A8E4645C17002DF03754AB66,3,2023-07-15,SW1537,2023-08-04,455,USD
59657221A8E4645C17002DF03754AB66,4,2023-08-04,GA0322,2023-08-06,438,USD
59657221A8E4645C17002DF03754AB66,5,2023-08-04,GA0322,2023-08-06,438,USD
59657221A8E4645C17002DF03754AB66,6,2023-08-04,GA0322,2023-08-06,438,USD
59657221A8E4645C17002DF03754AB66,7,2024-05-21,SW1537,2024-05-31,438,USD
59657221A8E4645C17002DF03754AB66,8,2024-05-21,SW1537,2024-05-31,438,USD
59657221A8E4645C17002DF03754AB66,9,2024-05-21,SW1537,2024-05-31,438,USD
59657221A8E4645C17002DF03754AB66,10,2024-05-17,GA0322,2024-06-02,438,USD
59657221A8E4645C17002DF03754AB66,11,2024-05-17,GA0322,2024-06-02,438,USD
59657221A8E4645C17002DF03754AB66,12,2024-05-17,GA0322,2024-06-02,438,USD
5A657221A8E4645C17002DF03754AB66,1,2023-07-19,SW1537,2023-08-04,455,USD
5A657221A8E4645C17002DF03754AB66,2,2023-07-31,GA0322,2023-08-06,455,USD
5B657221A8E4645C17002DF03754AB66,1,2023-08-02,SW1537,2023-08-04,455,USD
5B657221A8E4645C17002DF03754AB66,2,2023-08-02,SW1537,2023-08-04,455,USD
5C657221A8E4645C17002DF03754AB66,1,2023-08-04,SW1537,2023-08-04,455,USD
5C657221A8E4645C17002DF03754AB66,2,2023-08-04,SW1537,2023-08-04,455,USD
5C657221A8E4645C17002DF03754AB66,3,2023-08-04,SW1537,2023-08-04,455,USD
5C657221A8E4645C17002DF03754AB66,4,2023-07-29,GA0322,2023-08-06,455,USD
5C657221A8E4645C17002DF03754AB66,5,2023-07-29,GA0322,2023-08-06,455,USD
5C657221A8E4645C17002DF03754AB66,6,2023-07-29,GA0322,2023-08-06,455,USD
5C657221A8E4645C17002DF03754AB66,7,2024-05-29,SW1537,2024-05-31,438,USD
5C657221A8E4645C17002DF03754AB66,8,2024-05-29,SW1537,2024-05-31,438,USD
5C657221A8E4645C17002DF03754AB66,9,2024-05-29,SW1537,2024-05-31,438,USD
5D657221A8E4645C17002DF03754AB66,1,2023-07-16,SW1537,2023-08-04,473,USD
5D657221A8E4645C17002DF03754AB66,2,2023-07-16,SW1537,2023-08-04,473,USD
5D657221A8E4645C17002DF03754AB66,3,2023-07-24,GA0322,2023-08-06,455,USD
5D657221A8E4645C17002DF03754AB66,4,2023-07-24,GA0322,2023-08-06,455,USD
5E657221A8E4645C17002DF03754AB66,1,2023-07-19,SW1537,2023-08-04,490,USD
5F657221A8E4645C17002DF03754AB66,1,2023-07-17,SW1537,2023-08-04,490,USD
5F657221A8E4645C17002DF03754AB66,2,2023-07-17,SW1537,2023-08-04,490,USD
5F657221A8E4645C17002DF03754AB66,3,2023-07-17,GA0322,2023-08-06,455,USD
5F657221A8E4645C17002DF03754AB66,4,2023-07-17,GA0322,2023-08-06,455,USD
5F657221A8E4645C17002DF03754AB66,5,2024-05-21,SW1537,2024-05-31,438,USD
